ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,date,click_anomaly,conversion_anomaly,audience_cluster_key,audience_cluster_label,audience_cluster_frequency,trend_keyword,ctr,conversion_rate,cpc,cpa,revenue,roas
708746,2017-08-17,2017-08-17,916,103916,30-34,M,15,17,17,7350,1,1.429999948,2,1,2017-08-17,False,False,15_17_17,cluster_138,3,,0.00013605442176870748,1.0,1.429999948,1.429999948,20.0,13.986014494596331
708749,2017-08-17,2017-08-17,916,103917,30-34,M,16,19,21,17861,2,1.820000023,2,0,2017-08-17,False,False,16_19_21,cluster_176,5,,0.00011197581322434354,0.0,0.9100000115,0.0,0.0,0.0
708771,2017-08-17,2017-08-17,916,103920,30-34,M,20,25,22,693,0,0.0,1,0,2017-08-17,False,False,20_25_22,cluster_263,3,,0.0,0.0,0.0,0.0,0.0,0.0
708815,2017-08-30,2017-08-30,916,103928,30-34,M,28,32,32,4259,1,1.25,1,0,2017-08-30,False,False,28_32_32,cluster_475,3,,0.00023479690068091102,0.0,1.25,0.0,0.0,0.0
708818,2017-08-17,2017-08-17,916,103928,30-34,M,28,33,32,4133,1,1.289999962,1,1,2017-08-17,False,False,28_33_32,cluster_479,2,,0.00024195499637067505,1.0,1.289999962,1.289999962,20.0,15.503876425695585
708820,2017-08-17,2017-08-17,916,103929,30-34,M,29,30,30,1915,0,0.0,1,1,2017-08-17,False,True,29_30_30,cluster_494,1,,0.0,0.0,0.0,0.0,20.0,0.0
708889,2017-08-17,2017-08-17,916,103940,30-34,M,15,16,17,15615,3,4.769999981,1,0,2017-08-17,False,False,15_16_17,cluster_132,5,,0.00019212295869356388,0.0,1.5899999936666667,0.0,0.0,0.0
708895,2017-08-17,2017-08-17,916,103941,30-34,M,16,20,18,10951,1,1.269999981,1,1,2017-08-17,False,False,16_20_18,cluster_179,3,,9.131586156515387e-05,1.0,1.269999981,1.269999981,20.0,15.748031731663467
708953,2017-08-17,2017-08-17,916,103951,30-34,M,27,31,31,2355,1,1.5,1,0,2017-08-17,False,False,27_31_31,cluster_441,1,,0.0004246284501061571,0.0,1.5,0.0,0.0,0.0
708958,2017-08-30,2017-08-30,916,103952,30-34,M,28,32,31,9502,3,3.159999967,1,0,2017-08-30,False,False,28_32_31,cluster_474,2,,0.0003157230056830141,0.0,1.0533333223333334,0.0,0.0,0.0
708979,2017-08-30,2017-08-30,916,103955,30-34,M,31,37,34,1224,0,0.0,1,0,2017-08-30,False,False,31_37_34,cluster_589,2,,0.0,0.0,0.0,0.0,0.0,0.0
709023,2017-08-29,2017-08-29,916,103962,30-34,M,7,8,8,735,0,0.0,1,0,2017-08-29,False,False,7_8_8,cluster_779,1,,0.0,0.0,0.0,0.0,0.0,0.0
709038,2017-08-29,2017-08-29,916,103965,30-34,M,16,20,22,5117,0,0.0,1,0,2017-08-29,False,False,16_20_22,cluster_183,3,,0.0,0.0,0.0,0.0,0.0,0.0
709040,2017-08-29,2017-08-29,916,103965,30-34,M,16,19,21,5120,0,0.0,1,0,2017-08-29,False,False,16_19_21,cluster_176,5,,0.0,0.0,0.0,0.0,0.0,0.0
709059,2017-08-30,2017-08-30,916,103968,30-34,M,20,26,23,14669,7,10.28000021,1,1,2017-08-30,False,False,20_26_23,cluster_266,3,,0.000477196809598473,0.14285714285714285,1.4685714585714287,10.28000021,20.0,1.9455252520855735
709105,2017-08-30,2017-08-30,916,103976,30-34,M,28,30,32,1241,0,0.0,1,1,2017-08-30,False,True,28_30_32,cluster_467,2,,0.0,0.0,0.0,0.0,20.0,0.0
709115,2017-08-30,2017-08-30,916,103978,30-34,M,30,34,31,2305,1,0.569999993,1,0,2017-08-30,False,False,30_34_31,cluster_556,1,,0.0004338394793926247,0.0,0.569999993,0.0,0.0,0.0
709124,2017-08-30,2017-08-30,916,103979,30-34,M,31,34,33,1024,0,0.0,1,1,2017-08-30,False,True,31_34_33,cluster_585,1,,0.0,0.0,0.0,0.0,20.0,0.0
709179,2017-08-30,2017-08-30,916,103988,35-39,M,15,16,17,4627,1,1.690000057,1,0,2017-08-30,False,False,15_16_17,cluster_132,5,,0.0002161227577263886,0.0,1.690000057,0.0,0.0,0.0
709183,2017-08-30,2017-08-30,916,103989,35-39,M,16,20,22,21026,4,4.630000114,2,1,2017-08-30,False,False,16_20_22,cluster_183,3,,0.00019024065442785123,0.25,1.1575000285,4.630000114,20.0,4.319654321287128
709320,2017-08-17,2017-08-17,916,104012,35-39,M,15,21,20,1422,0,0.0,1,1,2017-08-17,False,True,15_21_20,cluster_152,3,,0.0,0.0,0.0,0.0,20.0,0.0
709323,2017-08-17,2017-08-17,916,104012,35-39,M,15,17,19,7132,2,2.609999895,1,0,2017-08-17,False,False,15_17_19,cluster_139,3,,0.00028042624789680314,0.0,1.3049999475,0.0,0.0,0.0
